,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4585,99999,0,1,1,1,1,2,1,1,1,2,2,2,135000,2,2,2,2,2,1,2,3,5,97,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,5871,22,79700,91,1664,2331,39,1
4586,16940,0,1,1,2,3,2,1,1,1,2,2,2,155000,2,2,2,2,2,1,1,3,5,64,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,8555,17,76700,111,2040,2810,38,1
4587,16940,2,1,1,2,2,1,3,1,1,2,2,2,285000,2,2,2,2,2,1,1,3,5,69,1,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,8555,17,76700,111,2040,2810,38,1
4588,16940,0,2,1,2,6,2,1,32,1,2,2,2,425000,2,2,2,2,2,1,1,3,5,168,1,3,2,1,2,2,5,5,2,2,1,2,2,2,2,2,1,10,5283,11,76700,138,1702,1910,19,1
4589,16940,4,1,1,0,0,2,1,1,2,2,2,2,5000,3,2,2,2,2,1,1,3,5,54,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,7965,17,76700,128,2462,3075,38,1
4590,99999,0,1,1,2,1,2,1,1,1,2,2,2,195000,2,2,2,2,2,1,2,3,5,185,1,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,6854,7,79700,111,2191,3628,19,1
4591,16940,2,1,1,1,2,2,3,1,1,2,2,2,245000,2,2,2,2,2,1,1,3,5,75,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,6053,21,76700,96,1425,2501,56,1
4592,16940,1,1,1,2,2,2,2,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,110,1,3,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,8555,17,76700,111,2040,2810,38,1
4593,16220,0,1,1,0,3,2,1,1,1,2,2,2,205000,2,2,2,2,2,1,1,3,5,190,3,3,2,2,2,2,5,5,2,2,2,2,2,2,1,1,2,10,4422,22,75800,89,954,1712,72,1
4594,16940,2,0,1,1,2,2,3,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,60,1,10,1,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8555,17,76700,111,2040,2810,38,1
